"","CNPJ_FDO","DT_COMPTC","VL_TOTAL","VL_QUOTA","PATRIM_LIQ","CAPTC_DIA","RESG_DIA","NR_COTST"
"59","14386926000171",2015-10-13,1682166097.14,1.357837,1682155463.93,2209748.63,140658.93,"391"
"60","14508643000155",2015-10-13,144621171.98,1.314532,144619378.36,2744114.03,8716089.96,"133"
"61","10740658000193",2015-10-13,3279210448.31,1.710761,3430325252.47,964159.11,6046847.73,"682"
"62","11060913000110",2015-10-13,3484426268.96,1.795515,3484388570.4,803264.53,43754.79,"606"
"63","20139595000178",2015-10-13,303467906.11,0.987871,303473841.93,0,0,"46"
"64","12321826000131",2015-10-13,91785797.06,1.801885,91788204.6,0,0,"54"
"65","22791074000126",2015-10-13,138013557.04,0.977719,138017406.59,0,0,"17"
"66","21919953000128",2015-10-13,332369916.08,0.970678,332378892.11,0,0,"56"
"67","21918953000103",2015-10-13,240745661.29,1.01646,240749187.63,0,0,"54"
"68","15154441000115",2015-10-13,303863090.34,0.991886,303719544.05,0,0,"116"
"69","3737206000197",2015-10-13,4061893115.22,2.51978,4061844689.36,13838514.2,46997515.48,"707"
"70","10322633000170",2015-10-13,4206810249.93,1.910486,4206629363.53,18798944.32,27858576.76,"2243"
"71","8702798000125",2015-10-13,993880054.36,2.3605262,993816275.46,0,0,"87"
"72","3399411000190",2015-10-13,6636702488.98,8.236836,6636179795.93,45068868.57,68830579.62,"402"
"73","21918988000142",2015-10-13,780071972.14,1.029782,780074336.44,0,0,"113"
"74","3256793000100",2015-10-13,4269916970.75,8.2085066,4269700335.61,12307404.78,78163106.74,"249"
"75","10986880000170",2015-10-13,450826645.36,1.7462772,450800660.97,0,0,"115"
"76","11492176000124",2015-10-13,870583751.19,1.6793642,870556682.51,0,230,"88"
"77","20216216000104",2015-10-13,94468798.32,1.1347622,94458397.47,0,0,"39"
"78","12845801000137",2015-10-13,481750208.19,1.4223392,526281517.4,0,0,"42"
"79","3543447000103",2015-10-13,1100480088.47,11.466328,1100460393.13,5400000,2252.85,"186"
"80","11328882000135",2015-10-13,7936552479.33,1.771598,7936505600.28,53371791.84,10719317.47,"1158"
"81","13077418000149",2015-10-13,5890032348.2,1.549,5889973740.46,21684248.49,12294798.19,"809"
"82","832435000100",2015-10-13,1248046182.6,2145.839353,1248032072.85,4810000,3046347.17,"99"
"83","11898349000109",2015-10-13,282870955.88,1.5835134,280750504.65,260000,68031.45,"3874"
"84","7972299000195",2015-10-13,521263496.66,1.8060617,524779731.29,12337.67,220477.26,"23984"
"85","9215250000113",2015-10-13,1034165582.76,2.1069964,1034097875.37,8402845.37,10668921.9,"521"
"86","13593438000172",2015-10-13,197534237.1,152.5549592,197526922.76,0,0,"5"
"87","975480000106",2015-10-13,9925098754.39,20.6273524,9923823127.27,10278162.75,132398370.83,"346"
"88","3069104000140",2015-10-13,5295650984.92,8.4740424,5294883128.62,27791647.96,57214205.55,"1317"
"89","10986880000170",2015-10-14,450980627.63,1.7468589,450950826.03,0,0,"115"
"90","8702798000125",2015-10-14,994307943.37,2.3615232,994236028.38,0,0,"87"
"91","11492176000124",2015-10-14,870283406.21,1.6787143,870219803.86,0,0,"88"
"92","12845801000137",2015-10-14,482272092.8,1.4237067,526787490.7,0,0,"42"
"93","20216216000104",2015-10-14,94555245.28,1.1357892,94543888.54,0,0,"39"
"94","3737206000197",2015-10-14,4071950022.29,2.521097,4071869277.32,20560476.02,12658870.8,"709"
"95","5164358000173",2015-10-14,380789535.66,2.869305,380837934.96,212000,3450,"145"
"96","12321826000131",2015-10-14,91839800.38,1.802945,91842197.2,0,0,"54"
"97","11328882000135",2015-10-14,7945931900.87,1.773181,7945884573.01,12295663.19,10008448.48,"1158"
"98","13077418000149",2015-10-14,5897563783.46,1.549812,5897504810.06,12105057.38,7661309.8,"812"
"99","3399411000190",2015-10-14,6624557086.25,8.2412754,6624010468.33,64789584.24,80535601.8,"401"
"100","19768733000107",2015-10-14,410516668.25,1.027444,410517793.13,0,0,"91"
"101","10577503000188",2015-10-14,387036285.13,1.157251,387037512.54,0,0,"152"
"102","14386926000171",2015-10-14,1684517922.53,1.359241,1684492624.21,693218.44,96087.63,"391"
"103","20139595000178",2015-10-14,304027014.48,0.98968,304029729.5,0,0,"46"
"104","3256793000100",2015-10-14,4385648824.54,8.2127689,4385395778.39,155922413.7,42444028.83,"248"
"105","832435000100",2015-10-14,1244018635.9,2146.997929,1244018503.5,191211,4878614.4,"99"
"106","20139342000102",2015-10-14,96697975.5,0.998876,96701218.18,0,0,"21"
"107","22791074000126",2015-10-14,138264389.78,0.979508,138270052.49,0,0,"17"
"108","21919953000128",2015-10-14,332611965.73,0.971376,332618032.48,0,0,"56"
"109","21918953000103",2015-10-14,240966397.18,1.017387,240968776.46,0,0,"54"
"110","15154441000115",2015-10-14,299467758.41,0.977463,299303260.61,0,0,"116"
"111","20139534000100",2015-10-14,133125216.03,0.953646,133126550.4,0,0,"22"
"112","10740658000193",2015-10-14,3415880898.46,1.711133,3415814681.86,664568.21,15920209.47,"681"
"113","3069104000140",2015-10-14,5352536532.95,8.4786032,5351677183.39,71557363.66,17613019.37,"1319"
"114","13327340000173",2015-10-14,793487577.77,1.465739699,793470115.3,0,3598698.5,"266"
"115","11898349000109",2015-10-14,279287004.35,1.5636113,277280157.86,81113.89,22891.79,"3871"
"116","9215250000113",2015-10-14,1037528708.61,2.1080832,1037451330.01,9010868.38,6190807.82,"520"
"117","975480000106",2015-10-14,9960413593.45,20.6383528,9959252526.97,54352051.65,24214911.57,"347"
"118","19303793000146",2015-10-14,308489182.57,1.232656432,308481461.03,0,0,"95"
"119","3543447000103",2015-10-14,1099644047.91,11.476289,1099624093.95,0,1792304.38,"186"
"120","11046645000181",2015-10-14,3154357117.01,1.713939662,3154318571.39,211424065.27,43692358.5,"18"
"121","13322205000135",2015-10-14,4169077099.96,1.643046711,4169010007.59,3016259.6,49600,"599"
"122","10322633000170",2015-10-14,4206871639.15,1.911484,4206580702.84,16176206.16,18422248.3,"2249"
"123","10740670000106",2015-10-14,8785669357.52,1.692872,8788411006.24,21778619.55,41587469.99,"1257"
